protocol,mobility,nNodes,pdr,avgDelayMs,txPackets,rxPackets,linkBreaks,avgHopCount,avgNodeDegree,avgLinkLifetimeS,seed
AODV,GridCoverage,5,81.3121,1141.56,503,409,9,1.75795,1.3,9.09091,1
AODV,GridCoverage,5,81.1881,1139.68,505,410,9,1.77805,1.3,9.09091,2
AODV,GridCoverage,5,81.3121,1141.49,503,409,9,1.75795,1.3,9.09091,3
AODV,GridCoverage,5,77.381,1204.8,504,390,9,1.76667,1.3,9.09091,4
AODV,GridCoverage,5,91.0537,1187.74,503,458,9,1.869,1.3,9.09091,5
AODV,GridCoverage,5,81.3121,1141.1,503,409,9,1.75795,1.3,9.09091,6
AODV,GridCoverage,5,91.0537,1189.64,503,458,9,1.869,1.3,9.09091,7
AODV,GridCoverage,5,81.3121,1142.24,503,409,9,1.75795,1.3,9.09091,8
AODV,GridCoverage,5,81.3121,1141.39,503,409,9,1.75795,1.3,9.09091,9
AODV,GridCoverage,5,81.3121,1141.12,503,409,9,1.75795,1.3,9.09091,10
AODV,GridCoverage,10,47.2018,53.4951,1358,641,25,1.96568,3.1875,11.0233,1
AODV,GridCoverage,10,49.3351,237.359,1504,742,25,1.89623,3.1875,11.0233,2
AODV,GridCoverage,10,57.1238,184.295,1502,858,25,1.81235,3.1875,11.0233,3
AODV,GridCoverage,10,45.9832,59.5918,1307,601,25,1.8985,3.1875,11.0233,4
AODV,GridCoverage,10,47.3373,63.8483,1352,640,25,1.94063,3.1875,11.0233,5
AODV,GridCoverage,10,52.8497,377.127,1351,714,25,2.13445,3.1875,11.0233,6
AODV,GridCoverage,10,44.6809,83.285,1363,609,25,1.82594,3.1875,11.0233,7
AODV,GridCoverage,10,48.071,237.133,1296,623,25,2.00642,3.1875,11.0233,8
AODV,GridCoverage,10,46.148,72.1748,1324,611,25,1.88543,3.1875,11.0233,9
AODV,GridCoverage,10,57.8694,170.179,1455,842,25,1.94299,3.1875,11.0233,10
AODV,GridCoverage,20,41.0751,34.5909,2437,1001,81,1.52647,5.55625,12.4776,1
AODV,GridCoverage,20,51.2821,226.782,2535,1300,81,1.68385,5.55625,12.4776,2
AODV,GridCoverage,20,44.0491,51.5334,2361,1040,81,1.82115,5.55625,12.4776,3
AODV,GridCoverage,20,45.3761,25.1591,2433,1104,81,1.64402,5.55625,12.4776,4
AODV,GridCoverage,20,43.6197,43.0809,2398,1046,81,1.62237,5.55625,12.4776,5
AODV,GridCoverage,20,38.8864,69.2456,2191,852,81,1.77347,5.55625,12.4776,6
AODV,GridCoverage,20,44.2751,39.0465,2428,1075,81,1.59349,5.55625,12.4776,7
AODV,GridCoverage,20,42.8076,63.3651,2308,988,81,1.65081,5.55625,12.4776,8
AODV,GridCoverage,20,44.8997,19.6803,2392,1074,81,1.72067,5.55625,12.4776,9
AODV,GridCoverage,20,49.2754,63.7736,2760,1360,81,1.47206,5.55625,12.4776,10
OLSR,GridCoverage,5,44.2029,1.6522,276,122,9,1,1.3,9.09091,1
OLSR,GridCoverage,5,56.0748,1.57149,214,120,9,1,1.3,9.09091,2
OLSR,GridCoverage,5,55.5046,1.66033,218,121,9,1,1.3,9.09091,3
OLSR,GridCoverage,5,50.6383,1.60663,235,119,9,1,1.3,9.09091,4
OLSR,GridCoverage,5,46.5753,1.6172,219,102,9,1,1.3,9.09091,5
OLSR,GridCoverage,5,50.6383,1.67226,235,119,9,1,1.3,9.09091,6
OLSR,GridCoverage,5,52.0661,1.56803,242,126,9,1,1.3,9.09091,7
OLSR,GridCoverage,5,55.6561,1.63867,221,123,9,1,1.3,9.09091,8
OLSR,GridCoverage,5,43.6364,1.61704,275,120,9,1,1.3,9.09091,9
OLSR,GridCoverage,5,52.2523,25.0126,222,116,9,1,1.3,9.09091,10
