Protocol,Mobility,Nodes,Mean_PDR,Std_PDR,Mean_Delay,Mean_Breaks,Mean_Hops,Mean_Degree,Mean_Lifetime
AODV,GridCoverage,10,49.66002,4.4496,153.8488,25.0,1.93086,3.1875,11.0233
AODV,GridCoverage,20,44.55463,3.4181,63.62574,81.0,1.65084,5.55625,12.4776
AODV,GridCoverage,5,82.85491,4.25986,1157.076,9.0,1.78304,1.3,9.09091
AODV,RWP,10,83.2237,8.57476,23.21556,0.8,1.13519,7.05,22.66546
AODV,RWP,20,79.10358,8.14379,46.00472,3.3,1.45801,11.56502,18.80194
AODV,RWP,5,90.5643,18.92001,3.98217,0.1,1.09362,3.4625,25.47091
AODV,Realistic,10,91.90043,9.71873,8.06644,25.0,1.00165,7.1875,24.6667
AODV,Realistic,20,86.63139,8.09854,50.1228,87.0,1.10141,12.9625,23.574
AODV,Realistic,5,96.5955,7.24905,7.04879,6.0,1.44043,3.175,24.6
DSDV,GridCoverage,10,21.09323,5.70881,230.0168,25.0,2.10254,3.1875,11.0233
DSDV,GridCoverage,20,27.07617,3.71848,315.4341,81.0,2.11306,5.55625,12.4776
DSDV,GridCoverage,5,24.85356,0.15655,517.9197,9.0,1.41917,1.3,9.09091
DSDV,RWP,10,84.98305,8.31189,22.92482,0.8,1.14042,7.05,22.66546
DSDV,RWP,20,69.50645,8.50233,30.38168,3.3,1.54649,11.56502,18.80194
DSDV,RWP,5,90.46025,10.62927,66.86556,0.1,1.18557,3.4625,25.47091
DSDV,Realistic,10,88.11018,9.36501,4.77072,25.0,1.04842,7.1875,24.6667
DSDV,Realistic,20,82.1674,8.85286,20.84327,87.0,1.07708,12.9625,23.574
DSDV,Realistic,5,62.78241,7.99451,9.55833,6.0,1.17419,3.175,24.6
OLSR,GridCoverage,10,40.27168,4.82548,21.76828,25.0,2.0,3.1875,11.0233
OLSR,GridCoverage,20,31.95664,4.91977,46.83599,81.0,2.0,5.55625,12.4776
OLSR,GridCoverage,5,50.72451,4.35813,3.96164,9.0,1.0,1.3,9.09091
OLSR,RWP,10,85.86741,13.1023,6.55539,0.8,1.10303,7.05,22.66546
OLSR,RWP,20,66.00333,14.25674,24.42023,3.3,1.44663,11.56502,18.80194
OLSR,RWP,5,94.78839,14.22715,3.35953,0.1,1.09771,3.4625,25.47091
OLSR,Realistic,10,92.0,9.79825,4.71774,25.0,1.0,7.1875,24.6667
OLSR,Realistic,20,86.62554,7.84917,9.0824,87.0,1.0,12.9625,23.574
OLSR,Realistic,5,66.27612,4.65058,2.97023,6.0,1.15004,3.175,24.6
