Protocol,Mobility,Nodes,Mean_PDR,Std_PDR,Mean_Delay,Mean_Breaks,Mean_Hops,Mean_Degree,Mean_Lifetime
AODV,RWP,5,63.70446,14.702315587450844,330.50639,0.0,1.54489,1.915,16.96856
AODV,RWP,10,63.147670000000005,15.455291444683633,96.70825299999998,0.3,1.7782980000000002,2.38125,17.77749
AODV,RWP,20,23.218122,19.700966876121075,217.43892,1.0,2.101214,2.0375,18.53422
AODV,Realistic,5,94.58058,10.975017000761316,5.097844,6.0,1.313204,3.175,24.6
AODV,Realistic,10,92.03576000000001,10.192580589624985,6.045369,25.0,1.000542,7.1875,24.6667
AODV,Realistic,20,86.4928,5.644620016883332,34.82142,87.0,1.057416,12.9625,23.574
DSDV,RWP,5,47.447698,30.65919142042921,133.157284,0.0,1.727564,1.915,16.96856
DSDV,RWP,10,45.576260000000005,12.545093399696597,112.31666,0.3,1.7427990000000002,2.38125,17.77749
DSDV,RWP,20,15.93939,14.68812867443297,17.857816,1.0,2.115514,2.0375,18.53422
DSDV,Realistic,5,71.46446,4.397317120472431,3.888018,6.0,1.104988,3.175,24.6
DSDV,Realistic,10,88.94915,9.28404991109304,5.210785,25.0,1.019879,7.1875,24.6667
DSDV,Realistic,20,78.36364,5.954552818054429,17.295434,87.0,1.097734,12.9625,23.574
OLSR,RWP,5,100.0,0.0,3.02414,0.0,1.330668,1.915,16.96856
OLSR,RWP,10,91.44219000000001,18.79935808794486,4.768643,0.3,1.5851709999999999,2.38125,17.77749
OLSR,RWP,20,93.77916,9.52013747421748,7.921196,1.0,1.856584,2.0375,18.53422
OLSR,Realistic,5,83.05442,2.296515688385341,3.726136,6.0,1.16322,3.175,24.6
OLSR,Realistic,10,90.10170000000001,10.434152649406231,4.599387,25.0,1.0,7.1875,24.6667
OLSR,Realistic,20,86.12986000000001,5.485868555023893,7.591714,87.0,1.000384,12.9625,23.574
